depth_bin,depth_mean,damage_ratio_mean,damage_ratio_median,damage_ratio_std,count
"(0.00993, 0.799]",0.05856748075643828,0.45920010244499704,0.4261768690958164,0.303591856562526,63138
"(0.799, 1.572]",1.0878154761904761,0.6346669482653097,0.6577587785714286,0.30005454186315295,336
"(1.572, 2.346]",1.857319298245614,0.6872091293146736,0.7698534898681249,0.3034562755228503,57
"(2.346, 3.119]",2.501053333333333,0.5022228584840959,0.530294393668022,0.3229066357099811,30
"(3.119, 3.893]",3.6321999999999997,0.7216179246753246,0.8910295454545455,0.39160954494719874,3
"(3.893, 4.666]",4.2672,0.8688032048072107,0.8688032048072107,0.1855402871015278,2
"(4.666, 5.439]",4.838699999999999,0.8534425285714287,0.8534425285714287,0.20726356376139302,2
"(8.533, 9.307]",8.71824761904762,0.27315634979446757,0.18295505714285715,0.24597859285325055,21
"(9.307, 10.08]",9.589745098039216,0.29522348388833447,0.2526632268370607,0.25218339706766457,51
"(11.627, 12.4]",12.3698,0.7306273182957393,0.7306273182957393,,1
"(14.721, 15.494]",15.494,0.19395937984496123,0.19395937984496123,,1
