zip,n_registrations,pct_destroyed,pct_sba_approved,pct_flood_damage,pct_foundation_damage,pct_roof_damage,pct_flood_insured,mean_water_depth_m,median_water_depth_m,mean_flood_damage_amt,mean_ihp_amount,total_ihp_amount
75928,38,0.0,0.0,0.2894736842105263,0.02631578947368421,0.02631578947368421,0.18421052631578946,0.08087894736842105,0.0,1435.8036842105264,1236.8336842105264,46999.68
75933,30,0.0,0.06666666666666667,0.3,0.1,0.03333333333333333,0.13333333333333333,0.11091333333333334,0.0,2953.5823333333333,2081.134,62434.02
75938,25,0.0,0.0,0.24,0.16,0.0,0.08,0.10363199999999999,0.0,845.3344000000001,1451.3436,36283.59
75951,160,0.0,0.01875,0.1125,0.06875,0.075,0.06875,0.038735,0.0,691.28475,711.7521875,113880.35
75956,112,0.0,0.08035714285714286,0.24107142857142858,0.0625,0.044642857142857144,0.10714285714285714,0.12065,0.0,3468.058125,1571.9833928571427,176062.13999999998
75966,26,0.0,0.0,0.11538461538461539,0.0,0.11538461538461539,0.11538461538461539,0.0127,0.0,22.14807692307692,140.17384615384614,3644.52
75979,84,0.0,0.011904761904761904,0.16666666666666666,0.05952380952380952,0.09523809523809523,0.05952380952380952,0.06894285714285714,0.0,1360.2009523809525,1272.6086904761905,106899.13
77002,26,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.5384615384615384,0.042984615384615385,0.0,346.95576923076925,473.11,12300.86
77003,52,0.0,0.09615384615384616,0.019230769230769232,0.0,0.019230769230769232,0.25,0.0058615384615384606,0.0,4.138846153846154,168.68634615384613,8771.689999999999
77004,220,0.0,0.05909090909090909,0.1409090909090909,0.00909090909090909,0.045454545454545456,0.2545454545454545,0.043179999999999996,0.0,695.4896363636364,582.7785454545455,128211.28
77005,105,0.0,0.009523809523809525,0.14285714285714285,0.0,0.009523809523809525,0.6476190476190476,0.04112380952380952,0.0,1160.9859999999999,635.0597142857143,66681.27
77006,72,0.0,0.05555555555555555,0.08333333333333333,0.013888888888888888,0.027777777777777776,0.3333333333333333,0.010583333333333333,0.0,413.94125,260.4529166666667,18752.61
77007,173,0.0,0.046242774566473986,0.15028901734104047,0.017341040462427744,0.04046242774566474,0.2832369942196532,0.06416069364161849,0.0,1053.8818497109826,785.3756647398843,135869.99
77008,196,0.0,0.05102040816326531,0.45408163265306123,0.015306122448979591,0.03571428571428571,0.6785714285714286,0.2265265306122449,0.0,5776.628010204082,1395.620612244898,273541.64
77009,179,0.0,0.0446927374301676,0.3407821229050279,0.0111731843575419,0.0446927374301676,0.29608938547486036,0.18815865921787708,0.0,2729.2683240223464,1893.3711731843575,338913.44
77011,37,0.0,0.0,0.1891891891891892,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.0864972972972973,0.0,1505.1532432432432,1742.8364864864864,64484.95
77012,46,0.0,0.021739130434782608,0.2826086956521739,0.06521739130434782,0.10869565217391304,0.15217391304347827,0.07896086956521739,0.0,672.3602173913043,682.5752173913044,31398.46
