parameter,value
B,3.607617262342273
Q₀,0.61008455647755
a₀,0.9999999999999996
ν₀,0.6657719818936865
λ_a,1.2572756450975238
λ_Q,4.858248529426751e-06
δ_ν,0.1197084549801436
