parameter,value
B,5.647341095209132
Q₀,3.4501699149418377
a₀,0.5416722177604987
ν₀,2.6091329247536406
λ_a,0.4893100471667602
λ_Q,2.673127503802875e-12
δ_ν,1.9786194915358778e-10
