B,Q0,a0,nu0,lambda_a,lambda_Q,delta_nu
5.763107344965728,3.5634503662916295,0.5573052798325829,2.7495285423155127,0.46963209775719666,0.0,0.0
5.519929911033353,3.2029942283505846,0.5525585964373377,2.5103857127658653,0.5060784841352338,0.0,0.0
5.401708774008117,3.1919775070438887,0.5565024614220502,2.5045593522553844,0.4859586709483575,0.0,0.0
5.685446837630632,3.127122436700413,0.5586630527660308,2.5218883224907507,0.4884334185065578,0.0,0.0
5.5510815531183,3.3209200481692673,0.5152682997639166,2.514923496075572,0.46771843027525417,0.0,0.0
5.438252153157101,3.2333713042470946,0.5384847464286039,2.5564428519134204,0.45908886040009905,0.0,0.0
5.772870280299272,3.940303797276976,0.5232660299452607,2.710160575705372,0.4881443801129191,0.0,0.0
5.517050718718183,3.1182740587325104,0.5516584498748248,2.504687676517542,0.49590587763661054,0.0,0.0
5.925712088824527,3.3353178758610595,0.5694498241324876,2.7325156010290543,0.4700265239617685,0.0,0.0
5.729634202132551,3.3072109723486145,0.5281673007001599,2.5283188543331976,0.48427378797287,0.0,0.0
5.828487653493947,3.9630381327025,0.5091337827065388,2.6810473355641955,0.4844561915065339,0.0,0.0
5.341423805147021,2.694337190389252,0.5359579505251869,2.314893021437042,0.46442508875747374,0.0,0.0
5.8997012127606805,3.1669627527234403,0.48842063808262337,2.4880838979294144,0.43019667768098035,0.0,0.0
5.259290066072461,3.464025976782816,0.5611469915116294,2.608614528758906,0.5061630432535512,0.0,0.0
5.310475963788827,3.2372243532765586,0.5272783739684953,2.5486851428819,0.453148514391293,0.0,0.0
5.4853751144742695,3.1149546799204755,0.5346619833980379,2.454414816344139,0.48052921919624175,0.0,0.0
5.651604950438813,3.637406896015094,0.5498067376368926,2.6564464994802375,0.49105294357866164,0.0,0.0
5.835109169464422,3.7234127516689615,0.5773351260506929,2.714504799865341,0.5362073112787853,0.0,0.0
5.61711258784253,3.007434862471157,0.5610847162398667,2.4571150705903366,0.5023699227395623,0.0,0.0
5.860378028395677,4.064066933920166,0.5341577769124319,2.7001126675123714,0.5088694314862461,0.0,0.0
5.627051465843384,3.5724224307859678,0.5597814681449466,2.7699119631204487,0.488798644964166,0.0,0.0
5.540274904291116,3.4699135689146563,0.535285939992553,2.517297260465674,0.530699434047662,0.0,0.0
6.210993475918634,4.358078300946464,0.529105946599292,2.9595607607240977,0.4578810014762787,0.0,0.0
5.1745060778030405,3.1305630679834047,0.5652801360960288,2.469891552601243,0.5047899218658446,0.0,0.0
6.101661658725471,3.580589787203376,0.5249327493174633,2.607683829048306,0.46975384116196417,0.0,0.0
4.942090826427793,2.659966652923097,0.5312379418176751,2.3300745832971956,0.44496002259378686,0.0,0.0
5.793917671799457,3.59298293410353,0.5184634062617101,2.6537296817037426,0.4578886650320246,0.0,0.0
5.4208427117893745,3.343257522752583,0.5302595908732474,2.519638736396474,0.4970757712686705,0.0,0.0
5.678621799663047,3.8247457098038375,0.5586540106215317,2.74118366352478,0.5240728160216424,0.0,0.0
6.101365966655888,3.8068590818301358,0.4917283718973995,2.61927719739016,0.4922317524054177,0.0,0.0
5.975066588600167,3.565969587447099,0.5112393707509314,2.5758864642474752,0.4726952459920838,0.0,0.0
4.910708878615323,2.999560024267546,0.5252085597149179,2.2780284999425695,0.5380669375231641,0.0,0.0
5.619200947564291,2.8150394679637127,0.5212990397262064,2.2611800585322674,0.5054491504224952,0.0,0.0
5.489477333012098,3.486239667861257,0.5488139170083184,2.615618585825037,0.5095420194729533,0.0,0.0
5.135187159048078,3.205166778839732,0.6100826535380837,2.66594519057132,0.5138054838956394,0.0,0.0
5.495092545424233,3.795912457476688,0.5861755478859407,2.6834721160762496,0.5452984279666251,0.0,0.0
5.528589040168239,2.8946136257215622,0.5027586771180018,2.3663460690512372,0.4725246909807806,0.0,0.0
5.748541905182014,3.5879144486805252,0.5141320104357847,2.542948985384159,0.49700316562072355,0.0,0.0
5.44830728093673,2.9285839844850536,0.5638327409269491,2.4309292321228684,0.5203344001067614,0.0,0.0
4.941666363050868,2.2484268739240982,0.5603979140351335,2.2029546901467403,0.4616038913293093,0.0,0.0
5.728360253055667,3.915055403497095,0.5446307118072865,2.6763267764780214,0.5231886892544483,0.0,0.0
6.078701875225071,3.930990512796735,0.5475110330100791,2.737143019718866,0.49957708978749416,0.0,0.0
5.6664847843926225,3.638340585927921,0.5578153882520096,2.5738812518375878,0.5272033124642267,0.0,0.0
5.771876092391965,3.2798346467487565,0.5146023964346323,2.5574919148044155,0.4573996264283252,0.0,0.0
5.580603278529343,3.4486504272419585,0.5001467287850934,2.540686400784228,0.464070194672806,0.0,0.0
5.396085991417283,3.377729129714215,0.5747091934967378,2.6009865988135323,0.5077298728465638,0.0,0.0
5.676115883242235,3.4373546149595122,0.5402424887127687,2.5234796462233873,0.5178357319146496,0.0,0.0
5.421268458174285,3.2765727943218335,0.5239233359695252,2.5399626453692474,0.44911982143920753,0.0,0.0
5.56569114132164,3.488871092664192,0.5469744315155899,2.552476465010611,0.5076806239167332,0.0,0.0
5.729845821488995,3.078880068592389,0.5407252962428719,2.445629385840387,0.5012083969518337,0.0,0.0
